Trade,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
369,3500.0,-3500.0,203490.15316211482,199990.15316211482
370,3500.0,-3500.0,199990.15316211482,196490.15316211482
371,3500.0,-3500.0,196490.15316211482,192990.15316211482
372,3500.0,-3500.0,192990.15316211482,189490.15316211482
373,3500.0,8750.0,189490.15316211482,198240.15316211482
374,3500.0,8750.0,198240.15316211482,206990.15316211482
375,3500.0,-3500.0,206990.15316211482,203490.15316211482
376,3500.0,-3500.0,203490.15316211482,199990.15316211482
377,3500.0,8750.0,199990.15316211482,208740.15316211482
378,3500.0,8750.0,208740.15316211482,217490.15316211482
379,3500.0,8750.0,217490.15316211482,226240.15316211482
380,3500.0,8750.0,226240.15316211482,234990.15316211482
381,3500.0,-3500.0,234990.15316211482,231490.15316211482
382,3500.0,-3500.0,231490.15316211482,227990.15316211482
383,3500.0,-3500.0,227990.15316211482,224490.15316211482
384,3500.0,-3500.0,224490.15316211482,220990.15316211482
385,3500.0,-3500.0,220990.15316211482,217490.15316211482
386,3500.0,8750.0,217490.15316211482,226240.15316211482
387,3500.0,8750.0,226240.15316211482,234990.15316211482
388,3500.0,-3500.0,234990.15316211482,231490.15316211482
389,3500.0,8750.0,231490.15316211482,240240.15316211482
390,3500.0,-3500.0,240240.15316211482,236740.15316211482
391,3500.0,8750.0,236740.15316211482,245490.15316211482
392,3500.0,-3500.0,245490.15316211482,241990.15316211482
393,3500.0,-3500.0,241990.15316211482,238490.15316211482
394,3500.0,8750.0,238490.15316211482,247240.15316211482
395,3500.0,-3500.0,247240.15316211482,243740.15316211482
396,3500.0,-3500.0,243740.15316211482,240240.15316211482
397,3500.0,-3500.0,240240.15316211482,236740.15316211482
398,3500.0,8750.0,236740.15316211482,245490.15316211482
399,3500.0,8750.0,245490.15316211482,254240.15316211482
400,3500.0,-3500.0,254240.15316211482,250740.15316211482
401,3500.0,-3500.0,250740.15316211482,247240.15316211482
402,3500.0,-3500.0,247240.15316211482,243740.15316211482
403,3500.0,-3500.0,243740.15316211482,240240.15316211482
404,3500.0,8750.0,240240.15316211482,248990.15316211482
405,3500.0,-3500.0,248990.15316211482,245490.15316211482
406,3500.0,-3500.0,245490.15316211482,241990.15316211482
